
threads=1~50	increase=10000
1,10000.00
2,10000.00
3,10000.00
4,10000.00
5,10000.00
6,8414.67
7,10000.00
8,10000.00
9,5792.11
10,7685.40
11,7343.55
12,8673.25
13,8500.54
14,4541.93
15,4540.33
16,3250.31
17,5052.29
18,6068.94
19,2647.26
20,6334.70
21,9666.05
22,7852.23
23,10000.00
24,7674.88
25,10000.00
26,6867.73
27,10000.00
28,10000.00
29,10000.00
30,10000.00
31,10000.00
32,10000.00
33,10000.00
34,10000.00
35,10000.00
36,10000.00
37,10000.00
38,10000.00
39,9037.59
40,8908.65
41,7318.54
42,8082.17
43,7692.23
44,7392.27
45,8382.16
46,7133.39
47,7660.47
48,8029.21
49,9610.06
50,7284.24

